"","codeplot","ndvi.mean","GDD_1cm.sum.mean","GDD_10cm.sum.mean","CWD.sum.mean","FDD_1cm.sum.mean","FDD_10cm.sum.mean","solar.radiation.sum.mean","DRT.air.mean","TMeanRngD.mean","TSeason.mean","TRngY.mean","PSeason.mean","Tmean","Pmean","Rveg","Diam_mean","NDVImin","NDVImax","PRCTMOmean","pHmean","Cmean","Nmean","Almean","Argilemean","Calcmean","Camean","Fermean","Limfinmean","Limgrosmean","mgmean","Mnmean","Phosmean","Kmean","Sablefinmean","Sablegrosmean","Namean","PHOSmean","NAGmean","LAPmean","AGmean","CBmean","BGmean","XYLmean","Milieu","Alt","X_L93","Y_L93","TG1.degres.mean","TG4.degres.mean","DSN_T_ISBA.mean","PTotY.mean","TMeanY.mean"
"1","ANT_1400",267.681184581413,2932.97858097366,3181.11683276413,-10.2706451750828,-104.360365866061,-68.481625930765,540163.998684073,6.63806829462357,20.6659856688925,673.705651080782,41.6476967551491,73.2782033204757,NA,NA,NA,NA,0.125857142857143,0.872285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.01377713702058,4.41679402414435,0.320229783915508,1105.544647599,280.174637947248
"2","ANT_1610",193.727519078022,2613.54104917334,2846.795203976,-11.3233993429575,-55.4523459761999,-28.6052060776876,587137.719778981,5.7339894675618,19.9604395911807,634.934023025338,39.9811609441584,80.279404562722,NA,NA,NA,NA,0.10325,0.87875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62989883064609,3.99897961518078,0.463368224862403,1074.35437080511,278.879503613427
"3","ANT_1750",141.862049564419,2582.14140649787,2880.82332488577,-18.2353863265735,-36.8910497624695,-14.4368092871431,781141.135320012,5.42960698587361,19.7869613614433,612.912607951756,38.9636161110618,85.5215978076068,NA,NA,NA,NA,0.008375,0.877375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61168136275663,4.06736992667504,0.485259796920696,1046.2724319134,277.86699817707
"4","ANT_2040",106.709314515787,2229.11346654754,2560.06916273441,-22.9621836411122,-25.4865945496854,-4.43512336846123,961305.219719824,4.86214273411423,19.0978241462212,596.431973843588,37.4570659290661,95.0896538869871,NA,NA,NA,NA,0,0.820875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12692151599283,3.62641569053475,0.653213401578132,988.064252038681,276.151697571659
"5","ANT_2200",77.3890703198715,1834.35396517579,2125.16393528385,-19.3210433536704,-24.7939629168916,-3.92741151536463,892297.959290637,4.58734008426883,18.6838092060832,587.823991021522,36.8683111017401,103.158573133338,NA,NA,NA,NA,0,0.702857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.56774510124457,3.01001054714311,0.886695278874916,915.59407300634,275.052052460708
"6","ANT_2370",58.7024600961825,1513.92567880516,1787.04276181891,-20.8104339407883,-26.968325921248,-5.74576805377848,969463.023987292,4.40736480492433,18.5006468471511,580.254541030976,36.5503082275391,114.222231124189,NA,NA,NA,NA,0,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10997560393744,2.52764021303102,1.05058053748037,845.028746404804,274.14554392827
"7","CHAM_1250",240.446840556317,3868.80089300894,4504.67976733751,-34.9351356479058,-81.8065318228652,-20.5155076533469,1039304.41402524,7.56718914870507,21.0306823697441,669.264616503428,41.5227952436967,70.4942454817235,NA,NA,NA,NA,0.438111111111111,0.861888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.37370200890697,6.36297818066639,0.115147213566283,1058.95958118592,280.902645433104
"8","CHAM_1470",255.735545714297,3243.54450905097,3729.56935856819,-30.1892299565913,-60.8487983613959,-20.6220162497672,954335.112981732,7.13221366732728,21.2703420135366,648.186275230408,41.6641124378551,78.7682866208733,NA,NA,NA,NA,0.537555555555556,0.853222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.51620908379584,5.26295417511644,0.271632149177268,1028.39831640822,279.882154819769
"9","CHAM_1710",182.049782722041,2955.40892568281,3414.93399730307,-34.0794418844067,-50.3999702081818,-13.327490464489,1081524.97197047,6.32945980548367,20.7458999105346,626.488434505673,40.6025335138494,85.9181182267705,NA,NA,NA,NA,0.216555555555556,0.765111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12217473042065,4.8268410184758,0.341122414815126,978.271641747382,278.494400206066
"10","CHAM_1890",148.628923708068,2461.93251368479,2811.41621075596,-26.0165930752753,-25.0207165911605,-5.17657837562236,911534.39285502,5.86070477827169,20.490682676241,610.910920082445,39.8145141601562,93.504036735579,NA,NA,NA,NA,0.150444444444444,0.693888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45795017647445,3.98202218217024,0.588133517128919,919.843547861836,277.322159416232
